LeadId,LeadCode,FullName,Email,Phone,Company,LeadSourceId,LeadStageId,LeadStatusId,LeadScoringId,CountryId,InterestedRegion,AssignedAgentId,RevenuePotential,ConversionProbability,ExpectedRevenue,CreatedOn,ModifiedOn,DaysInPipeline,DaysSinceLastUpdate,LeadVelocity,EngagementScore,TemperatureTrend,ChurnRisk,PredictedCLV,PropensityToBuy,PropensityToChurn,PropensityToUpgrade,NextBestAction,BehavioralSegment,PredictedJourney,Country
1,LEAD001,Ahmed Al-Rashid,ahmed.al.rashid@saudirealty.sa,+1511668732,Delhi Investment Group,4,1,1,4,1,Business Bay,1,32977.13374579708,0.010000000000000002,329.77133745797084,2025-08-16 00:00:00,2025-08-23 00:00:00,30,23,30.0,39,Heating Up,0.95,44176.054134214326,0.2316626542372533,0.95,0.4388461079346374,Final Attempt,Need Attention,7 days to Qualified,Saudi Arabia
2,LEAD002,Emma Davis,emma.davis@globalproperties.com,+1537338124,Emirates Holdings,1,1,3,3,5,NEOM Project,4,97591.02967842619,0.03,2927.7308903527855,2025-09-14 00:00:00,2025-10-01 00:00:00,1,-16,1.0,48,Stable,0.8615309613517903,133379.8858252282,0.13910611273814624,0.8176124002384139,0.28345272014725065,Nurture Campaign,Need Attention,19 days to Qualified,United States
3,LEAD003,Priya Patel,priya.patel@indiaproperties.in,+91505831819,London Property Investments,4,1,9,2,3,Business Bay,4,129738.31355491554,0.09000000000000001,11676.4482199424,2025-08-07 00:00:00,2025-08-18 00:00:00,39,28,39.0,62,Heating Up,0.8531998829823455,198658.4685750063,0.17727037947274454,0.8499361310081195,0.33711609779428137,Schedule Meeting,Need Attention,16 days to Qualified,India
4,LEAD004,Rohit Gupta,rohit.gupta@indiaproperties.in,+91510709497,London Property Investments,2,1,2,4,3,Dubai Marina,3,23365.05032949155,0.010000000000000002,233.65050329491555,2025-08-05 00:00:00,2025-08-06 00:00:00,41,40,41.0,56,Stable,0.8822477171580126,36949.739815737405,0.37611369143228546,0.95,0.1256149801053899,Archive Lead,Need Attention,9 days to Qualified,India
5,LEAD005,Rajesh Sharma,rajesh.sharma@indiaproperties.in,+971571691040,London Property Investments,2,4,3,4,3,London Financial,4,23666.373038501035,0.05,1183.3186519250519,2025-08-18 00:00:00,2025-09-07 00:00:00,28,8,7.0,82,Stable,0.95,42450.70489408512,0.3579287927839609,0.9384351717611759,0.19905626095253254,Final Attempt,Loyal Customers,Journey Complete,India
6,LEAD006,Emma Davis,emma.davis@globalproperties.com,+91553843426,Dubai Properties LLC,1,1,4,3,5,Mumbai Commercial,5,95942.24817696841,0.03,2878.267445309052,2025-08-04 00:00:00,2025-08-11 00:00:00,42,35,42.0,61,Cooling Down,0.7884548946347667,133245.23981358414,0.14976232902432907,0.95,0.20460051316831232,Value Content,Need Attention,14 days to Qualified,United States
7,LEAD007,Michael Brown,michael.brown@globalproperties.com,+91578461803,Emirates Holdings,5,1,7,1,4,London Financial,2,225002.52832736098,0.15000000000000002,33750.37924910415,2025-08-09 00:00:00,2025-08-16 00:00:00,37,30,37.0,58,Heating Up,0.8708651656154711,338789.85658871755,0.19362371648596102,0.8427989878419666,0.32911069062080683,Schedule Demo,Need Attention,19 days to Qualified,United Kingdom
8,LEAD008,Fatima Al-Zahra,fatima.al.zahra@saudirealty.sa,+44579978790,Delhi Investment Group,5,3,5,2,1,London Financial,1,136048.33853156742,0.36000000000000004,48977.40187136428,2025-08-11 00:00:00,2025-08-24 00:00:00,35,22,11.666666666666666,84,Cooling Down,0.5282630927749009,222089.80987832267,0.4307780546530982,0.6339135912525253,0.3218344557441093,Schedule Meeting,Loyal Customers,55 days to Conversion,Saudi Arabia
9,LEAD009,Rajesh Sharma,rajesh.sharma@indiaproperties.in,+91567187530,Al-Rashid Investment Group,2,4,9,2,3,Mumbai Commercial,1,131712.97822756701,0.45,59270.84020240516,2025-08-28 00:00:00,2025-09-02 00:00:00,18,13,4.5,94,Cooling Down,0.4407139695423805,181641.00526400315,0.54739146901183,0.46915063971068127,0.19331147777533622,Schedule Meeting,Loyal Customers,Journey Complete,India
10,LEAD010,David Miller,david.miller@globalproperties.com,+1500076758,London Property Investments,3,4,8,1,5,Business Bay,1,234809.4428088283,0.75,176107.0821066212,2025-08-24 00:00:00,2025-08-29 00:00:00,22,17,5.5,97,Stable,0.2953499747653503,405570.64807994745,0.305600711977921,0.26755532939548327,0.2225878320300808,Send Proposal,Champions,Journey Complete,United States
